"TYPE","NAME","ADDRESS","COMM_CODE","POINT"
"Library","Country Hills Library","11950 Country Village Link NE","CHV","POINT (-114.0647656 51.1569374)"
"Attraction","Triangle Art Gallery","#104 800 Macleod TR SE","DNC","POINT (-114.0575148 51.0450826)"
"Community Centre","Rutland Park Community Centre","3130 40 AV SW","RUT","POINT (-114.1352802 51.0183945)"
"Community Centre","Forest Lawn Community Centre","4020 26 AV SE","FLN","POINT (-113.9768338 51.0308266)"
"Library","Seton Library","4995 MARKET ST SE","SET","POINT (-113.9441933 50.8811957)"
"Attraction","Southern Alberta Jubilee Auditorium","1415 14 AV NW","HIL","POINT (-114.0922591 51.063613)"
"Community Centre","Scenic Acres Community Centre","8825 Scurfield DR NW","SCE","POINT (-114.2147787 51.1217149)"
"Community Centre","Braeside Community Centre","11024 Braeside DR SW","BRA","POINT (-114.1020506 50.9543528)"
"Community Centre","Lakeview Community Centre","6110 34 ST SW","LKV","POINT (-114.1361917 50.9983665)"
"Library","Nicholls Family Library","1421 33 ST SW","RCK","POINT (-114.135837 51.0404181)"
"Library","Louise Riley Library","1904 14 AV NW","HOU","POINT (-114.1043624 51.0654639)"
"PHS Clinic","East Calgary Health Centre","4715 8 AV SE","FLN","POINT (-113.9672343 51.0450553)"
"Attraction","Rocky Mountaineer Rail Tours","115 9 AV SW","DNC","POINT (-114.0624644 51.0440938)"
"Community Centre","Ramsay Community Centre","2102 Ramsay Street SE","RAM","POINT (-114.0465051 51.0345969)"
"Community Centre","Dover Community Centre","3033 30 AV SE","DOV","POINT (-113.9891044 51.0267198)"
"Attraction","Aero Space Museum of Calgary","4629 McCall WY NE","PEG","POINT (-114.0118342 51.0940207)"
"Hospital","Peter Lougheed Medical Centre","3500 - 26 AV NE","SUN","POINT (-113.9839578 51.0790231)"
"Community Centre","Montgomery Community Centre","5003 - 16 AV NW","MON","POINT (-114.1656201 51.0716152)"
"Attraction","Calgary Stampeders Football - McMahon Stadium","1817 Crowchild TR NW","UOC","POINT (-114.1182222 51.0704118)"
"Visitor Info","Tourism Calgary Tower","101 9 AV SW","DNC","POINT (-114.0630832 51.0443392)"
"Community Centre","Rundle Community Centre","2409 50 ST NE","RUN","POINT (-113.9620129 51.0746781)"
"Community Centre","Calgary Marlborough Community Centre","636 Marlborough WY NE","MRL","POINT (-113.9743029 51.0582729)"
"Community Centre","Highwood Community Centre","16 Harlow AV NW","HIW","POINT (-114.0773655 51.0908186)"
"Library","Sage Hill Library","19 SAGE HILL PS NW","SGH","POINT (-114.1471172 51.1689181)"
"Community Centre","Shawnessy Community Centre","224 Shawmeadows RD SW","SHN","POINT (-114.0751716 50.9067157)"
"Community Centre","Mount Royal Community Centre","2317 10 ST SW","UMR","POINT (-114.086071 51.0317415)"
"Community Centre","Deer Run Community Centre","2223 146 AV SE","DRN","POINT (-114.0079559 50.9217621)"
"Attraction","Calgary Firefighters Museum","4124 11 ST SE","HIF","POINT (-114.0365922 51.0184737)"
"Library","Signal Hill Library","5994 SIGNAL HILL CT SW","SIG","POINT (-114.1753771 51.0188066)"
"Community Centre","Saddle Ridge Community Centre","7614 42 ST NE","SRI","POINT (-113.9728732 51.1208502)"
"Community Centre","Temple Community Centre","167 Templegreen RD NE","TEM","POINT (-113.9448682 51.0874161)"
"Attraction","Shaw Millenium Park","1220 9 AV SW","DNW","POINT (-114.0909416 51.0463444)"
"Attraction","Heritage Park Historical Village","1900 Heritage Dr SW","GPK","POINT (-114.1082581 50.9848404)"
"Community Centre","Elboya Heights Community Centre","416 Park AV SW","EYA","POINT (-114.0727663 51.015372)"
